letter,count_all,count_uppercase,percentage
a,5,0,2.192982456140351
b,0,0,0.0
c,5,1,2.192982456140351
d,5,2,2.192982456140351
e,15,0,6.578947368421052
f,7,0,3.0701754385964914
g,2,1,0.8771929824561403
h,2,0,0.8771929824561403
i,10,2,4.385964912280702
j,0,0,0.0
k,0,0,0.0
l,2,0,0.8771929824561403
m,4,0,1.7543859649122806
n,7,2,3.0701754385964914
o,11,0,4.824561403508772
p,3,1,1.3157894736842106
q,0,0,0.0
r,2,0,0.8771929824561403
s,16,1,7.017543859649122
t,11,0,4.824561403508772
u,2,0,0.8771929824561403
v,0,0,0.0
w,5,0,2.192982456140351
x,1,0,0.43859649122807015
y,3,0,1.3157894736842106
z,0,0,0.0
